timestamp,chassis.power_fb.power @ 0x200009CC,chassis.power_prediction.total_power @ 0x20000A44
29.634285,0.243694,0.485899
50.717317,3.429163,3.066216
50.718652,3.429163,3.066216
50.719981,3.429163,3.071511
50.721240,3.429163,3.056223
50.722530,3.429163,3.056223
50.723836,3.429163,3.063273
50.725499,3.429163,3.055107
50.726826,3.106952,3.055107
50.728113,3.106952,3.042537
50.729469,3.242191,3.031487
50.730854,3.069558,3.031487
50.732173,3.234712,3.018050
50.733459,3.234712,3.013555
50.734798,3.075084,3.005369
50.737681,3.075084,3.003106
50.744157,3.314948,3.003391
50.745682,3.314948,3.006969
50.747007,3.285870,3.009411
50.748297,3.078294,3.009411
50.749623,3.078294,3.004859
50.750902,3.279876,3.004339
50.755415,3.237915,3.003879
50.756742,3.066783,2.982183
50.759814,3.073226,2.981109
50.761122,3.068625,2.972519
50.762421,3.032925,2.971195
50.764429,3.227644,2.968315
50.767645,3.064729,2.970138
50.768989,3.267965,2.973286
50.770305,3.478233,2.973286
50.771626,3.316447,2.967327
50.774619,3.276740,2.967327
50.775967,3.278526,2.965001
50.777270,3.276505,2.946769
50.778525,3.074501,2.946769
50.779793,3.068676,2.969618
50.781092,3.234535,2.955166
50.782859,3.680358,2.940719
50.784263,3.356872,2.940719
50.785548,3.292174,2.946799
50.787636,3.077635,2.937496
50.788899,3.238407,2.925508
50.790462,2.867042,2.925508
50.792068,3.219322,2.915711
50.793455,3.468504,2.916390
50.797171,3.065524,2.923596
50.800038,3.067065,2.940381
50.801324,3.034533,2.941111
50.802616,3.065157,2.941111
50.803947,3.235911,2.950835
50.806808,3.235443,2.956375
50.808160,3.066289,2.965380
50.809425,3.236138,2.971326
50.810796,3.236549,2.971326
50.812077,3.270190,2.971038
50.813457,3.277848,2.973978
50.814799,3.076689,2.973827
50.816402,3.228092,2.973827
50.817976,3.066738,2.973707
50.819446,3.227694,2.971332
50.820704,3.064739,2.971332
50.822013,3.032148,2.971233
50.825324,3.236360,2.972700
50.826685,3.074734,2.972700
50.828052,3.229709,2.987834
50.830673,3.435429,2.987834
50.831978,3.307886,2.962262
50.833271,3.037659,2.973299
50.834800,3.228332,2.973299
50.836093,3.268546,2.963066
50.837441,3.278198,2.956914
50.838821,3.076760,2.956914
50.840163,2.871383,2.968333
50.844825,2.993477,2.976931
50.846886,3.221575,2.976931
50.848154,3.466715,2.986110
50.850110,3.316223,3.000103
50.852147,3.286125,3.014972
50.853447,3.286125,3.039587
50.857396,3.236469,3.026979
50.858634,3.270174,3.026979
50.859919,3.476435,3.029007
50.862797,3.272036,3.037230
50.864432,3.033922,3.037230
50.865994,3.105485,3.037867
50.867266,3.042217,3.034883
50.870082,3.268562,3.036051
50.872168,3.275702,3.033627
50.873814,3.275988,3.031540
50.878829,3.269549,3.046261
50.880232,3.477758,3.046261
50.881672,3.316352,3.047604
50.882978,3.277614,3.045815
50.885855,3.276323,3.054443
50.887162,3.276323,3.049349
50.888430,3.276323,3.049349
50.889702,2.874625,3.041630
50.892829,2.874625,3.041630
50.894108,2.874625,3.034561
50.895618,2.874625,2.999350
50.896981,2.874625,2.984020
50.899896,2.874625,2.958971
50.901248,2.874625,2.965739
50.902815,2.874625,2.965739
50.904105,2.874625,2.955774
50.905422,2.874625,2.948525
50.906774,2.874625,2.948525
50.908054,2.874625,2.912778
50.909426,2.874625,2.823841
50.910803,2.874625,2.823841
50.912134,2.874625,2.779901
50.913549,2.874625,2.708670
50.914828,2.874625,2.708670
50.916109,2.874625,2.773910
50.917540,2.874625,2.825274
50.919185,2.874625,2.832121
50.920435,2.874625,2.832121
50.921855,2.874625,2.848500
50.923197,2.874625,2.838660
50.926110,2.874625,2.868791
50.929657,2.874625,2.904040
50.930948,2.874625,2.924443
50.933804,2.874625,2.937171
50.935127,2.874625,2.941011
50.936459,2.874625,2.941011
50.937795,2.874625,2.949167
50.939440,2.994125,2.955215
50.940801,2.994125,2.955215
50.942144,2.994125,2.954320
50.947080,2.994125,2.951876
50.948410,3.019945,2.951876
50.949698,3.019945,2.959764
50.951333,3.226869,2.966245
50.952667,3.266174,2.966245
50.953946,3.276115,2.984851
50.955512,3.276115,2.968905
50.959238,3.036388,2.941105
50.960705,3.230158,2.941105
50.962069,3.065232,2.955943
50.963442,3.065232,2.957685
50.965038,3.032247,2.956816
50.966488,3.027569,2.956816
50.967949,3.027569,2.955493
50.969425,3.226127,2.953774
50.970812,3.268105,2.953774
50.972114,3.237444,2.947363
50.973876,3.270369,2.944517
50.975189,2.834399,2.937729
50.976818,2.986080,2.936692
50.979026,3.023697,2.940428
50.980270,3.225539,2.940428
50.981597,3.267988,2.942612
50.982832,3.275680,2.942612
50.984674,3.074387,2.941511
50.986190,3.034078,2.946898
50.990426,3.318461,2.954744
50.991874,3.078434,2.959619
50.993579,3.036807,2.973052
50.996482,2.871303,2.973052
50.998095,3.060132,2.979279
50.999423,3.232826,2.985874
51.000951,3.233953,2.991625
51.002551,3.234382,2.999120
51.005192,3.074655,2.998322
51.007429,3.068682,2.995657
51.008711,3.032937,2.995657
51.010044,3.229467,2.982754
51.012438,3.229467,2.982754
51.013810,3.268774,2.971015
51.015109,3.274555,2.945498
51.016455,3.274555,2.922823
51.019355,3.274555,2.900981
51.020645,3.076031,2.900981
51.022060,3.076031,2.869368
51.023359,3.034406,2.866015
51.026117,3.227681,2.856624
51.027798,3.064736,2.854267
51.029044,3.233747,2.857162
51.030705,3.471390,2.857162
51.032030,3.471390,2.855368
51.033285,3.113478,2.860981
51.034576,3.043816,2.860981
51.035880,3.043816,2.869203
51.037158,3.027963,2.878010
51.038446,3.064479,2.878010
51.039804,3.064479,2.883502
51.042568,3.066355,2.887630
51.043894,3.066355,2.895769
51.048837,3.244620,2.895769
51.051822,3.068124,2.883940
51.053493,3.034745,2.877281
51.055326,3.028069,2.871655
51.056618,3.026734,2.873233
51.062060,2.986061,2.877629
51.063345,2.818332,2.889738
51.064704,3.186546,2.889738
51.066011,3.186546,2.914201
51.067887,2.831046,2.918473
51.070640,3.189089,2.952652
51.072544,3.057018,2.950984
51.074600,3.030604,2.950984
51.075936,3.030604,2.958800
51.077214,3.066920,2.960073
51.078956,3.025717,2.960073
51.080233,3.228024,2.955778
51.081552,3.064805,2.960841
51.082808,3.034081,2.960841
51.084091,3.026323,2.942281
51.085444,3.024093,2.942894
51.087421,3.024093,2.952225
51.088716,3.227699,2.940991
51.090532,3.074804,2.940991
51.092038,3.068272,2.942031
51.094101,2.784203,2.930716
51.095429,2.976041,2.964048
51.096984,3.022082,2.961646
51.098620,3.023617,2.961646
51.100012,3.228049,2.957284
51.101362,3.266410,2.976135
51.103320,3.154976,2.981796
51.105295,3.233303,2.987566
51.106550,3.271621,2.987566
51.107825,3.075444,2.986364
51.109077,3.036209,2.989805
51.111007,3.227002,2.977074
51.112329,3.227002,3.009030
51.115496,3.237752,3.001470
51.119703,3.035777,2.996984
