timestamp,chassis.power_fb.power @ 0x200009CC,chassis.power_prediction.total_power_raw @ 0x20000A98,chassis.power_prediction.applied_quadratic_raw @ 0x20000A88,chassis.power_prediction.applied_linear_power @ 0x20000A90
0.000000,3.020167,2.716994,0.075626,-0.056973
0.002611,3.022551,2.722186,0.070688,-0.026225
0.005205,2.867230,2.727071,0.055351,-0.022787
0.007765,3.016049,2.732083,0.061948,-0.019269
0.010415,3.022002,2.736951,0.051421,-0.012651
0.013051,2.827645,2.758288,0.055892,0.018168
0.015802,2.825629,2.775172,0.053983,0.025287
0.024565,2.826304,2.765362,0.073515,-0.018329
0.029461,3.006778,2.765093,0.078441,-0.027343
0.032291,2.910342,2.761662,0.094416,-0.030295
0.034894,2.829374,2.762109,0.083015,-0.006033
0.037448,2.826027,2.772339,0.083558,-0.000507
0.041148,3.014400,2.790022,0.081136,0.019783
0.043773,2.872723,2.796806,0.083466,0.020884
0.046397,3.090210,2.813817,0.120300,0.008325
0.055702,3.015923,2.823159,0.127849,0.004380
0.058461,2.863984,2.835683,0.142057,-0.003781
0.061140,2.867120,2.837092,0.143270,0.001267
0.063736,2.834224,2.843051,0.152263,0.014454
0.069653,2.790383,2.868849,0.152328,0.030391
0.073509,3.050655,2.885560,0.166951,0.025273
0.084967,3.093598,2.894238,0.176203,0.014892
0.087837,3.070000,2.876691,0.161620,0.012490
0.092810,3.051952,2.864781,0.180674,-0.024074
0.104663,3.257360,2.868948,0.219682,-0.041908
0.108443,3.100672,2.885421,0.222548,-0.034604
0.111131,3.091957,2.889610,0.244462,-0.058072
0.113779,3.257680,2.890310,0.256949,-0.057614
0.116427,3.257747,2.909062,0.273003,-0.047888
0.120464,3.249230,2.935952,0.284051,-0.046052
0.123050,3.249230,2.951853,0.286725,-0.019141
0.126967,3.249230,2.993161,0.307869,-0.010446
0.129525,3.249230,2.994404,0.313743,0.004900
0.132681,3.249230,3.029672,0.296498,0.062810
0.135518,3.286842,3.053607,0.288594,0.080414
0.138221,3.294354,3.058708,0.276172,0.082644
0.143440,3.477371,3.064582,0.288074,0.070179
0.147633,3.108978,3.036815,0.283836,0.042612
0.153366,3.623871,3.033071,0.286802,0.051763
0.156185,3.081071,3.038631,0.291436,0.050571
0.160346,3.478985,3.044069,0.293983,0.052605
0.162974,3.445077,3.034098,0.330465,0.014756
0.172861,2.918332,3.047277,0.354744,0.000432
0.176131,3.288675,3.056010,0.352200,0.006373
0.178708,3.257014,3.065687,0.359294,0.016950
0.181561,3.521481,3.088179,0.364802,0.021919
0.184914,3.485312,3.098686,0.374754,0.027872
0.187819,2.957862,3.106536,0.383779,0.025304
0.190847,3.243515,3.131742,0.405145,0.052284
0.193416,3.286303,3.130786,0.390808,0.060173
0.196264,3.483261,3.155114,0.406195,0.051453
0.198899,3.306691,3.161761,0.408400,0.051728
0.202013,3.484938,3.173181,0.418670,0.054684
0.205382,3.304518,3.203161,0.443466,0.054814
0.212183,3.334740,3.225912,0.462122,0.072461
0.216390,3.486910,3.247730,0.466647,0.078467
0.220147,3.334982,3.259214,0.524344,0.061876
0.224383,3.334982,3.247676,0.503164,0.041638
0.227325,3.334982,3.272776,0.531796,0.045545
0.229989,3.334982,3.285880,0.534328,0.054110
0.232518,3.334982,3.297234,0.537858,0.082129
0.235763,3.334982,3.309952,0.513647,0.120870
0.238369,3.334982,3.349967,0.487547,0.243774
0.243748,3.492997,3.380402,0.370545,0.333872
0.249485,3.492997,3.367326,0.312310,0.335671
0.254550,3.492997,3.323593,0.284893,0.313298
0.258256,3.492997,3.262278,0.251405,0.302580
0.263985,3.492997,3.187328,0.197095,0.281528
0.268528,3.492997,3.125216,0.154024,0.223505
0.275904,3.492997,2.893880,0.022493,0.073435
0.284961,3.147799,2.784933,0.021706,0.052452
0.289645,2.835643,2.748493,0.021936,0.032910
0.293140,3.012706,2.762668,0.026664,0.023082
0.295892,2.861421,2.753927,0.041443,0.010006
0.299341,2.827417,2.761407,0.063110,-0.001446
0.302387,2.826283,2.757430,0.108463,-0.054388
0.313419,2.634138,2.748097,0.104460,-0.046814
0.316034,2.597468,2.761492,0.091101,-0.027187
0.319064,2.779179,2.772454,0.079013,0.015831
0.321852,2.816636,2.782061,0.053795,0.032492
0.324479,2.599545,2.786325,0.048582,0.039826
0.327147,2.831641,2.780596,0.044052,-0.006600
0.337930,2.824954,2.739370,0.062252,-0.019579
0.344352,3.012278,2.745543,0.074539,-0.021216
0.349354,2.820323,2.764090,0.076372,-0.010480
0.356693,2.636465,2.760183,0.065890,0.011570
0.359574,2.971219,2.765096,0.051390,0.014396
0.362378,3.043444,2.762345,0.049153,0.014585
0.364944,2.681089,2.761046,0.048289,0.006243
0.368495,2.857883,2.752873,0.051256,0.002840
0.371142,2.834297,2.755812,0.050702,-0.009886
0.378332,2.982122,2.743409,0.088564,-0.063458
0.383416,2.646385,2.731942,0.110603,-0.095302
0.386179,2.791997,2.697865,0.120307,-0.116429
0.389689,2.824256,2.702951,0.104656,-0.076147
0.392341,2.864026,2.771558,0.091985,0.010932
0.395716,2.833605,2.800591,0.084325,0.018172
0.400866,3.013008,2.791022,0.087481,-0.010572
0.406146,3.061112,2.782290,0.104101,-0.033617
0.409973,3.021725,2.779545,0.113260,-0.031998
0.413516,2.871509,2.785858,0.117146,-0.018647
0.417132,2.825901,2.808934,0.113368,-0.000366
0.419671,3.014380,2.818152,0.113668,0.004474
0.422976,2.833535,2.819135,0.114354,0.008274
0.425538,3.015907,2.823831,0.129411,0.001198
0.430544,2.864783,2.841379,0.134350,0.003314
0.433367,2.833756,2.846342,0.152954,-0.000648
0.436974,3.015951,2.855930,0.170875,-0.004988
0.441020,3.053600,2.872293,0.181058,-0.006654
0.443742,2.871520,2.881514,0.221562,-0.008742
0.448959,2.871520,2.909163,0.216553,-0.004129
0.451727,2.871520,2.910933,0.224288,0.006319
0.454390,2.871520,2.934947,0.218791,0.018744
0.457009,3.209664,2.949648,0.231654,0.026472
0.461054,3.209664,2.949914,0.241944,0.023691
0.463992,3.209664,2.965119,0.248592,0.026625
0.469220,3.097826,2.967892,0.253008,0.034319
0.479156,3.240415,2.984960,0.251607,0.037228
0.485905,3.061370,2.985210,0.240827,0.045160
0.488420,2.871154,2.984092,0.237931,0.051575
0.491470,3.241870,2.983432,0.237538,0.047993
0.495154,2.909174,2.980526,0.233547,0.052235
0.497878,2.909174,2.984436,0.241729,0.049551
0.500544,2.909174,2.988537,0.239027,0.052040
0.503150,2.909174,3.008118,0.255847,0.061992
0.505791,3.031035,2.999987,0.222497,0.095980
0.510928,3.031035,3.025708,0.218936,0.131917
0.513486,3.031035,3.032540,0.180924,0.157896
0.516156,3.243807,3.058505,0.175776,0.183615
0.518719,3.472362,3.035020,0.152148,0.171441
0.521299,3.472362,2.982931,0.130787,0.096779
0.531381,3.061741,2.937789,0.149497,0.105688
0.534015,3.061548,2.877397,0.168891,0.009696
0.542623,3.060771,2.889541,0.166236,0.036291
0.545543,3.098703,2.893272,0.143387,0.037005
0.548153,3.250198,2.881236,0.130057,0.053127
0.550644,3.219768,2.874596,0.095220,0.076688
0.556236,3.232866,2.848508,0.077074,0.072233
0.558954,2.919597,2.847179,0.069285,0.070733
0.561513,3.093056,2.830466,0.060683,0.059226
0.564183,3.029439,2.790348,0.052760,0.037323
0.566792,2.857356,2.781964,0.051802,0.022495
0.569861,3.436168,2.774881,0.042732,0.025166
0.572414,3.064497,2.764318,0.041362,0.022910
0.575012,2.827543,2.780859,0.050489,0.000676
0.592197,2.632141,2.767695,0.066678,0.002716
0.601989,2.861786,2.771971,0.064531,0.010019
0.604622,2.677128,2.775761,0.065147,0.013177
0.607163,3.044045,2.777571,0.068526,0.012669
0.610255,2.681209,2.780989,0.074517,0.009023
0.613181,2.631809,2.789577,0.084153,0.007403
0.615673,2.787162,2.784938,0.087550,0.004431
0.618235,2.818232,2.790740,0.095738,-0.002410
